College Name,B.TECH,EXAM ACCEPTED,Rating,Address
"IIM Bangalore - Indian Institute of Management, Bangalore","₹ 2,450,000",CAT, 9.1 / 10 ," Bangalore, Karnataka"
"Indian Institute of Management - [IIMA], Ahmedabad","₹ 3,000,000",CAT, 9.1 / 10 ," Ahmedabad, Gujarat"
"Indian Institute of Management - [IIMC], Kolkata","₹ 2,700,000",CAT, 8.6 / 10 ," Kolkata, West Bengal"
"Indian Institute of Management - [IIM], Lucknow","₹ 1,005,000",XAT, 8.5 / 10 ," Lucknow, Uttar Pradesh"
"Indian Institute of Management - [IIM], Indore","₹ 850,711",CAT, 8.7 / 10 ," Indore, Madhya Pradesh"
"Prestige Institute of Management and Research - [PIMR], Indore","₹ 119,500",CMAT, 7.6 / 10 ," Indore, Madhya Pradesh"
"Vinod Gupta School of Management - [VGSoM], Kharagpur","₹ 640,768",CAT, 8.7 / 10 ," Kharagpur, West Bengal"
"XLRI - Xavier School of Management - [XLRI], Jamshedpur","₹ 1,290,000",XAT, 8.9 / 10 ," Jamshedpur, Jharkhand"
"Department of Management Studies IIT Delhi - [DMS IITD], New Delhi","₹ 1,080,000",CAT, 8.7 / 10 ," New Delhi, Delhi NCR"
"Shailesh J. Mehta School of Management, IIT Bombay - [SJMSOM], Mumbai","₹ 691,100",CAT, 8.8 / 10 ," Mumbai, Maharashtra"
"BML Munjal University - [BMU], Gurgaon","₹ 580,000",XAT, 8.1 / 10 ," Gurgaon, Haryana"
"Department of Management Studies, Indian Institute of Technology - [DOMS], Roorkee","₹ 413,500",CAT, 8.8 / 10 ," Roorkee, Uttarakhand"
"Management Development Institute - [MDI], Gurgaon","₹ 2,347,400",CAT, 8.4 / 10 ," Gurgaon, Haryana"
"GNIOT Institute of Management Studies - [GIMS], Greater Noida","₹ 342,000",XAT, 9 / 10 ," Greater Noida, Uttar Pradesh"
"Indian School of Business - [ISB], Hyderabad","₹ 3,629,620",GMAT, 9.1 / 10 ," Hyderabad, Telangana"
"New Horizon College of Engineering - [NHCE], Bangalore","₹ 500,000",XAT, 8.6 / 10 ," Bangalore, Karnataka"
"Indian Institute of Management - [IIMU], Udaipur","₹ 940,000",CAT, 8.6 / 10 ," Udaipur, Rajasthan"
"Woxsen University, Hyderabad","₹ 725,000",XAT, 8.2 / 10 ," Hyderabad, Telangana"
"Department of Management Studies, IIT Madras - [DoMS IIT Madras], Chennai","₹ 400,000",CAT, 7.6 / 10 ," Chennai, Tamil Nadu"
"SP Jain Institute of Management and Research - [SPJIMR], Mumbai","₹ 2,210,000",CAT, 8.4 / 10 ," Mumbai, Maharashtra"
"NIT Trichy, Tiruchirappalli","₹ 139,750",CAT, 8.5 / 10 ," Tiruchirappalli, Tamil Nadu"
"Great Lakes Institute of Management, Chennai","₹ 1,875,000",XAT, 8.5 / 10 ," Chennai, Tamil Nadu"
"Indian Institute of Digital Education - [IIDE], Mumbai","₹ 467,797",XAT, 9.9 / 10 ," Mumbai, Maharashtra"
"Indian Institute of Management - [IIM], Raipur","₹ 791,900",CAT, 7.8 / 10 ," Raipur, Chhattisgarh"
"Jamnalal Bajaj Institute of Management Studies -[JBIMS], Mumbai","₹ 350,000",MAHCET, 8 / 10 ," Mumbai, Maharashtra"
"Narsee Monjee Institute of Management Studies - [NMIMS Deemed to be University], Mumbai","₹ 1,095,000",NMAT, 8.3 / 10 ," Mumbai, Maharashtra"
"Industrial and Management Engineering, IIT Kanpur- [IME IIT], Kanpur","₹ 1,350,000",CAT, 8 / 10 ," Kanpur, Uttar Pradesh"
"SDM Institute for Management Development - [SDMIMD], Mysore","₹ 1,140,000",XAT, 8.5 / 10 ," Mysore, Karnataka"
"Symbiosis Centre for Management and Human Resource Development - [SCMHRD], Pune","₹ 1,054,000",SNAP, 7.9 / 10 ," Pune, Maharashtra"
"Asia Pacific Institute of Management - [AIM], New Delhi","₹ 875,000",XAT, 7.7 / 10 ," New Delhi, Delhi NCR"
"Indian Institute of Management - [IIM], Rohtak","₹ 990,000",CAT, 8.3 / 10 ," Rohtak, Haryana"
"IIHMR University, Jaipur","₹ 1,050,000",XAT, 8.1 / 10 ," Jaipur, Rajasthan"
"Indian Institute of Management - [IIM], Shillong","₹ 1,460,000",CAT, 8.1 / 10 ," Shillong, Meghalaya"
"Parul University, Vadodara","₹ 74,000",CAT, 8.1 / 10 ," Vadodara, Gujarat"
"IIM Kashipur, Kashipur","₹ 782,500",CAT, 8.2 / 10 ," Kashipur, Uttarakhand"
"ICFAI Foundation for Higher Education - [IFHE], Hyderabad","₹ 801,000",IBSAT, 7.7 / 10 ," Hyderabad, Telangana"
"International Management Institute - [IMI], New Delhi","₹ 911,850",CAT, 8.3 / 10 ," New Delhi, Delhi NCR"
"Manipal University Online, Jaipur","₹ 60,000",XAT, 8 / 10 ," Jaipur, Rajasthan"
